CUI,NAME,DEF
C0000940,Accounts Payable and Receivable,Short-term debt obligations and assets occurring in the regular course of operational transactions.
C0000941,Accreditation,"Certification as complying with a standard set by non-governmental organizations, applied for by institutions, programs, and facilities on a voluntary basis."
C0000943,Acculturation,Process of cultural change in which one group or members of a group assimilate various cultural patterns from another.
C0000946,acebutolol,"A cardioselective beta-1 adrenergic antagonist with little effect on the bronchial receptors. The drug has stabilizing and quinidine-like effects on cardiac rhythm, as well as weak inherent sympathomimetic action."
C0000949,Acedapsone,"Acetylated sulfone that is slowly metabolized to give long-term, low blood levels of DAPSONE. It has antimicrobial and antimalarial action, but is mainly used as a depot leprostatic agent."
C0000954,Acenaphthenes,"Tricyclic ethylene-bridged naphthalene derivatives. They are found in petroleum residues and coal tar and used as dye intermediates, in the manufacture of plastics, and in insecticides and fungicides."
C0000956,acenocoumarol,"A coumarin that is used as an anticoagulant. Its actions and uses are similar to those of WARFARIN. (From Martindale, The Extra Pharmacopoeia, 30th ed, p233)"
C0000959,acepromazine,A phenothiazine that is used in the treatment of PSYCHOSES.
C0000960,acepromazine maleate,"The maleate salt of acepromazine, a phenothiazine derivative with depressant effect on the central nervous system. Acepromazine acts as a dopamine receptor antagonist in the CNS, thereby causing sedation, muscular relaxation and a reduction in spontaneous activity. Its fast-acting neuroleptic effect with low toxicity is of particular value in veterinary medicine."
C0000961,Acetabularia,A genus of green algae found in the Mediterranean and other warm seas.
C0000962,Bone structure of acetabulum,The part of the pelvis that comprises the pelvic socket where the head of FEMUR joins to form HIP JOINT (acetabulofemoral joint).
C0000966,acetaldehyde,"A colorless, flammable liquid used in the manufacture of acetic acid, perfumes, and flavors. It is also an intermediate in the metabolism of alcohol. It has a general narcotic action and also causes irritation of mucous membranes. Large doses may cause death from respiratory paralysis."
C0000967,Acetals,"Diethers with the structure -C(OR'')(OR'''), where R'' and R''' are not hydrogen. Mixed acetals have R'' and R''' groups which differ."
C0000968,Acetamides,"Derivatives of acetamide that are used as solvents, as mild irritants, and in organic synthesis."
C0000970,acetaminophen,"Analgesic antipyretic derivative of acetanilide. It has weak anti-inflammatory properties and is used as a common analgesic, but may cause liver, blood cell, and kidney damage."
C0000974,Acetanilides,"Compounds based on N-phenylacetamide, that are similar in structure to 2-PHENYLACETAMIDES. They are precursors of many other compounds. They were formerly used as ANALGESICS and ANTIPYRETICS, but often caused lethal METHEMOGLOBINEMIA."
C0000975,acetate,"salts or esters of acetic acid in which the terminal hydrogen atom is replaced by a metal, for instance copper acetate Cu(CH3COO)2, or where substitution is by a radical, for instance ethyl acetate CH3COOC2H5."
C0000977,Acetate Kinase,An enzyme that catalyzes reversibly the phosphorylation of acetate in the presence of a divalent cation and ATP with the formation of acetylphosphate and ADP. It is important in the glycolysis process. EC 2.7.2.1.
C0000979,Acetates,"Derivatives of ACETIC ACID. Included under this heading are a broad variety of acid forms, salts, esters, and amides that contain the carboxymethane structure."
C0000981,acetazolamide,"One of the CARBONIC ANHYDRASE INHIBITORS that is sometimes effective against absence seizures. It is sometimes useful also as an adjunct in the treatment of tonic-clonic, myoclonic, and atonic seizures, particularly in women whose seizures occur or are exacerbated at specific times in the menstrual cycle. However, its usefulness is transient often because of rapid development of tolerance. Its antiepileptic effect may be due to its inhibitory effect on brain carbonic anhydrase, which leads to an increased transneuronal chloride gradient, increased chloride current, and increased inhibition. (From Smith and Reynard, Textbook of Pharmacology, 1991, p337)"
C0000983,acetic acid,"Product of the oxidation of ethanol and of the destructive distillation of wood. It is used locally, occasionally internally, as a counterirritant and also as a reagent. (Stedman, 26th ed)"
C0000987,Acetic Anhydrides,"Compounds used extensively as acetylation, oxidation and dehydrating agents and in the modification of proteins and enzymes."
C0000988,Acetoacetates,Salts and derivatives of acetoacetic acid.
C0000990,Acetobacter,A species of gram-negative bacteria of the family ACETOBACTERACEAE found in FLOWERS and FRUIT. Cells are ellipsoidal to rod-shaped and straight or slightly curved.
C0000992,acetohexamide,A sulfonylurea hypoglycemic agent that is metabolized in the liver to 1-hydrohexamide.
C0000996,Acetoin,A product of fermentation. It is a component of the butanediol cycle in microorganisms. In mammals it is oxidized to carbon dioxide.
C0000997,Acetoin Dehydrogenase,An enzyme that catalyzes the conversion of acetoin to diacetyl in the presence of NAD.
C0000999,Acetolactate Synthase,A flavoprotein enzyme that catalyzes the formation of acetolactate from 2 moles of PYRUVATE in the biosynthesis of VALINE and the formation of acetohydroxybutyrate from pyruvate and alpha-ketobutyrate in the biosynthesis of ISOLEUCINE. This enzyme was formerly listed as EC 4.1.3.18.
C0001002,acetone,A colorless liquid used as a solvent and an antiseptic. It is one of the ketone bodies produced during ketoacidosis.
C0001004,Acetonitriles,Compounds in which a methyl group is attached to the cyano moiety.
C0001006,Acetophenones,Derivatives of the simplest aromatic ketone acetophenone (of general formula C6H5C(O)CH3).
C0001011,Acetoxyacetylaminofluorene,"An alkylating agent that forms DNA ADDUCTS at the C-8 position in GUANINE, resulting in single strand breaks. It has demonstrated carcinogenic action."
C0001017,Acetrizoic Acid,An iodinated radiographic contrast medium used as acetrizoate sodium in HYSTEROSALPINGOGRAPHY.
C0001019,Acetyl-CoA C-Acetyltransferase,An enzyme that catalyzes the formation of acetoacetyl-CoA from two molecules of ACETYL COA. Some enzymes called thiolase or thiolase-I have referred to this activity or to the activity of ACETYL-COA C-ACYLTRANSFERASE.
C0001021,Acetyl-CoA C-Acyltransferase,Enzyme that catalyzes the final step of fatty acid oxidation in which ACETYL COA is released and the CoA ester of a fatty acid two carbons shorter is formed.
C0001022,Acetyl-CoA Carboxylase,"A carboxylating enzyme that catalyzes the conversion of ATP, acetyl-CoA, and HCO3- to ADP, orthophosphate, and malonyl-CoA. It is a biotinyl-protein that also catalyzes transcarboxylation. The plant enzyme also carboxylates propanoyl-CoA and butanoyl-CoA (From Enzyme Nomenclature, 1992) EC 6.4.1.2."
C0001024,Acetyl-CoA Hydrolase,An enzyme that catalyzes reversibly the hydrolysis of acetyl-CoA to yield CoA and acetate. The enzyme is involved in the oxidation of fatty acids. EC 3.1.2.1.
C0001026,acetyl coenzyme A,"Acetyl CoA participates in the biosynthesis of fatty acids and sterols, in the oxidation of fatty acids and in the metabolism of many amino acids. It also acts as a biological acetylating agent."
C0001028,Acetate-CoA Ligase,"An enzyme that catalyzes the formation of CoA derivatives from ATP, acetate, and CoA to form AMP, pyrophosphate, and acetyl CoA. It acts also on propionates and acrylates. EC 6.2.1.1."
C0001034,Acetylaminofluorene,hepatic carcinogen whose mechanism of activation involves N-hydroxylation to the arylhydroxamic acid followed by enzymatic sulfonation to sulfoxyfluorenylacetamide; used to study the carcinogenicity and mutagenicity of aromatic amines.
C0001038,Acetylation,"Formation of an acetyl derivative. (Stedman, 25th ed)"
C0001040,acetylcarnitine,An acetic acid ester of CARNITINE that facilitates movement of ACETYL COA into the matrices of mammalian MITOCHONDRIA during the oxidation of FATTY ACIDS.
C0001041,acetylcholine,"A neurotransmitter found at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system."
C0001044,acetylcholinesterase,"An enzyme that catalyzes the hydrolysis of ACETYLCHOLINE to CHOLINE and acetate. In the CNS, this enzyme plays a role in the function of peripheral neuromuscular junctions. EC 3.1.1.7."
C0001046,Acetylcholinesterase Inhibitors,"Any substance that inhibits acetylcholinesterase (AchE), an enzyme that breaks down acetylcholine (Ach) in the synaptic cleft. Inhibition of acetylcholinesterase results in an increase in the level and duration of action of acetylcholine."
C0001047,acetylcysteine,The N-acetyl derivative of CYSTEINE. It is used as a mucolytic agent to reduce the viscosity of mucous secretions. It has also been shown to have antiviral effects in patients with HIV due to inhibition of viral stimulation by reactive oxygen intermediates.
C0001049,Acetyldigitoxins,Cardioactive derivatives of lanatoside A or of DIGITOXIN. They are used for fast digitalization in congestive heart failure.
C0001050,acetyldigoxins,Alpha- or beta-acetyl derivatives of DIGOXIN or lanatoside C from Digitalis lanata. They are better absorbed and longer acting than digoxin and are used in congestive heart failure.
C0001052,acetylene,The simplest two carbon alkyne with the formula HCCH.
C0001053,Acetylesterase,An enzyme that catalyzes the conversion of acetate esters and water to alcohols and acetate. EC 3.1.1.6.
C0001055,Acetylgalactosamine,The N-acetyl derivative of galactosamine.
C0001056,acetylglucosamine,The N-acetyl derivative of glucosamine.
C0001057,Beta-N-Acetylglucosaminidase,"A beta-N-Acetylhexosaminidase that catalyzes the hydrolysis of terminal, non-reducing 2-acetamido-2-deoxy-beta-glucose residues in chitobiose and higher analogs as well as in glycoproteins. Has been used widely in structural studies on bacterial cell walls and in the study of diseases such as MUCOLIPIDOSIS and various inflammatory disorders of muscle and connective tissue."
C0001060,Acetylmuramyl-Alanyl-Isoglutamine,Peptidoglycan immunoadjuvant originally isolated from bacterial cell wall fragments; also acts as pyrogen and may cause arthritis; stimulates both humoral and cellular immunity.
C0001061,Acecainide,A major metabolite of PROCAINAMIDE. Its anti-arrhythmic action may cause cardiac toxicity in kidney failure.
C0001064,Acetylserotonin N-Methyltransferase,An enzyme that catalyzes the transfer of a methyl group from S-adenosylmethionine to N-acetylserotonin to form N-acetyl-5-methoxytryptamine (MELATONIN).
C0001066,Acetylthiocholine,"An agent used as a substrate in assays for cholinesterases, especially to discriminate among enzyme types."
C0001068,Acetyltransferase,"Enzymes catalyzing the transfer of an acetyl group, usually from acetyl coenzyme A, to another compound. EC 2.3.1."
C0001072,Achievement,Success in bringing an effort to the desired end; the degree or level of success attained in some specified area (esp. scholastic) or in general.
C0001074,Structure of achilles tendon,Tendon that connects the muscles in the back of the calf to the HEEL BONE.
C0001075,Achlorhydria,A lack of HYDROCHLORIC ACID in GASTRIC JUICE despite stimulation of gastric secretion.
C0001076,Acholeplasma,A genus of gram-negative organisms including saprophytic and parasitic or pathogenic species.
C0001077,Acholeplasma laidlawii,"An organism originally isolated from sewage, manure, humus, and soil, but recently found as a parasite in mammals and birds."
C0001078,Acholeplasmataceae,"Gram-negative organisms including apparently free-living saphrophytes as well as mammalian and avian parasites, and possibly pathogens."
C0001079,Achondrogenesis,A rare group of disorders characterized by defective development of bones and cartilage.
C0001080,Achondroplasia,"An autosomal dominant disorder that is the most frequent form of short-limb dwarfism. Affected individuals exhibit short stature caused by rhizomelic shortening of the limbs, characteristic facies with frontal bossing and mid-face hypoplasia, exaggerated lumbar lordosis, limitation of elbow extension, GENU VARUM, and trident hand. (Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#100800, April 20, 2001)"
C0001084,Achromobacter,Any bacteria that is not assigned to the species level but can be assigned to the Achromobacter genus level.
C0001100,"Acid Etching, Dental","Preparation of TOOTH surfaces and DENTAL MATERIALS with etching agents, usually phosphoric acid, to roughen the surface to increase adhesion or osteointegration."
C0001109,Acid Phosphatase,An enzyme that catalyzes the conversion of an orthophosphoric monoester and water to an alcohol and orthophosphate. EC 3.1.3.2.
C0001111,Acid Rain,"Acidic water usually pH 2.5 to 4.5, which poisons the ecosystem and adversely affects plants, fishes, and mammals. It is caused by industrial pollutants, mainly sulfur oxides and nitrogen oxides, emitted into the atmosphere and returning to earth in the form of acidic rain water."
C0001117,Acid-Base Equilibrium,The balance between acids and bases in the BODY FLUIDS. The pH (HYDROGEN-ION CONCENTRATION) of the arterial BLOOD provides an index for the total body acid-base balance.
C0001118,Acid-Base Imbalance,Disturbances in the ACID-BASE EQUILIBRIUM of the body.
C0001122,Acidosis,"A pathologic condition of acid accumulation or depletion of base in the body. The two main types are RESPIRATORY ACIDOSIS and metabolic acidosis, due to metabolic acid build up."
C0001125,"Acidosis, Lactic",Acidosis caused by accumulation of lactic acid more rapidly than it can be metabolized. It may occur spontaneously or in association with diseases such as DIABETES MELLITUS; LEUKEMIA; or LIVER FAILURE.
C0001126,Renal tubular acidosis,"A group of genetic disorders of the KIDNEY TUBULES characterized by the accumulation of metabolically produced acids with elevated plasma chloride, hyperchloremic metabolic ACIDOSIS. Defective renal acidification of URINE (proximal tubules) or low renal acid excretion (distal tubules) can lead to complications such as HYPOKALEMIA, hypercalcinuria with NEPHROLITHIASIS and NEPHROCALCINOSIS, and RICKETS."
C0001127,"Acidosis, Respiratory",Respiratory retention of carbon dioxide. It may be chronic or acute.
C0001128,Acids,"Chemical compounds which yield hydrogen ions or protons when dissolved in water, whose hydrogen can be replaced by metals or basic radicals, or which react with bases to form salts and water (neutralization). An extension of the term includes substances dissolved in media other than water. (Grant & Hackh's Chemical Dictionary, 5th ed)"
C0001129,"Acids, Acyclic",Carboxylic acids that have open-chain molecular structures as opposed to ring-shaped structures.
C0001130,"Acids, Aldehydic",Dicarboxylic acids in which one of the carboxyl groups (-COOH) has been replaced by an aldehyde group (-CHO).
C0001131,"Acids, Carbocyclic",Carboxylic acids that have a homocyclic ring structure in which all the ring atoms are carbon.
C0001132,Heterocyclic Acids,A class of acids containing a ring structure in which at least one atom other than CARBON is incorporated.
C0001133,"Acids, Noncarboxylic","Inorganic acids with a non metal, other than carbon, attached to hydrogen, or an acid radical containing no carbon."
C0001134,acidulated phosphate fluoride,"A sodium fluoride solution, paste or powder, which has been acidulated to pH 3 to 4 and buffered with a phosphate. It is used in the prevention of dental caries."
C0001138,Acinetobacter,"A genus of gram-negative bacteria of the family MORAXELLACEAE, found in soil and water and of uncertain pathogenicity."
C0001139,Acinetobacter Infections,Infections with bacteria of the genus ACINETOBACTER.
C0001143,aclarubicin,An anthracycline produced by Streptomyces galilaeus. It has potent antineoplastic activity.
C0001144,Acne Vulgaris,"A chronic disorder of the pilosebaceous apparatus associated with an increase in sebum secretion. It is characterized by open comedones (blackheads), closed comedones (whiteheads), and pustular nodules. The cause is unknown, but heredity and age are predisposing factors."
C0001145,Acne Keloid,A type of acneiform disorder in which secondary pyogenic infection in and around pilosebaceous structures ends in keloidal scarring. It manifests as persistent folliculitis of the back of the neck associated with occlusion of the follicular orifices. It is most often encountered in black or Asian men.
C0001156,Aconitate Hydratase,An enzyme that catalyzes the reversible hydration of cis-aconitate to yield citrate or isocitrate. It is one of the citric acid cycle enzymes. EC 4.2.1.3.
C0001157,aconite,Dried root of Aconitum napellus.
C0001158,aconitic acid,A tricarboxylic acid with the formula (COOH)-CH2-C(COOH)=CH-COOH.
C0001159,aconitine,A C19 norditerpenoid alkaloid (DITERPENES) from the root of ACONITUM; DELPHINIUM and larkspurs. It activates VOLTAGE-GATED SODIUM CHANNELS. It has been used to induce ARRHYTHMIAS in experimental animals and it has anti-inflammatory and anti-neuralgic properties.
C0001161,Acoustic Impedance Tests,"Objective tests of middle ear function based on the difficulty (impedance) or ease (admittance) of sound flow through the middle ear. These include static impedance and dynamic impedance (i.e., tympanometry and impedance tests in conjunction with intra-aural muscle reflex elicitation). This term is used also for various components of impedance and admittance (e.g., compliance, conductance, reactance, resistance, susceptance)."
C0001162,Acoustic Nerve,The 8th cranial nerve. The vestibulocochlear nerve has a cochlear part (COCHLEAR NERVE) which is concerned with hearing and a vestibular part (VESTIBULAR NERVE) which mediates the sense of balance and head position. The fibers of the cochlear nerve originate from neurons of the SPIRAL GANGLION and project to the cochlear nuclei (COCHLEAR NUCLEUS). The fibers of the vestibular nerve arise from neurons of Scarpa's ganglion and project to the VESTIBULAR NUCLEI.
C0001163,Vestibulocochlear Nerve Diseases,"Pathological processes of the VESTIBULOCOCHLEAR NERVE, including the branches of COCHLEAR NERVE and VESTIBULAR NERVE. Common examples are VESTIBULAR NEURITIS, cochlear neuritis, and ACOUSTIC NEUROMA. Clinical signs are varying degree of HEARING LOSS; VERTIGO; and TINNITUS."
C0001164,Acoustic Stimulation,Use of sound to elicit a response in the nervous system.
C0001166,Acoustics,"The branch of physics that deals with sound and sound waves. In medicine it is often applied in procedures in speech and hearing studies. With regard to the environment, it refers to the characteristics of a room, auditorium, theatre, building, etc. that determines the audibility or fidelity of sounds in it. (From Random House Unabridged Dictionary, 2d ed)"
C0001169,Acquired Coagulation Factor Deficiency,"Deficiency of a coagulation factor that is not caused by genetic alterations. Causes include vitamin K deficiency, amyloidosis, and severe liver disease."
C0001175,BIRUO MAKALEKI ZOLDURA(INKL.SID ET SIND. AHAIDEKIDETUAK),"An acquired defect of cellular immunity associated with infection by the human immunodeficiency virus (HIV), a CD4-positive T-lymphocyte count under 200 cells/microliter or less than 14% of total lymphocytes, and increased susceptibility to opportunistic infections and malignant neoplasms. Clinical manifestations also include emaciation (wasting) and dementia. These elements reflect criteria for AIDS as defined by the CDC in 1993."
C0001180,Acremonium,A mitosporic fungal genus with many reported ascomycetous teleomorphs. Cephalosporin antibiotics are derived from this genus.
C0001185,Acridine Orange,"A cationic cytochemical stain specific for cell nuclei, especially DNA. It is used as a supravital stain and in fluorescence cytochemistry. It may cause mutations in microorganisms."
C0001186,Acridines,Compounds that include the structure of acridine.
C0001187,acriflavine,"3,6-Diamino-10-methylacridinium chloride mixt. with 3,6-acridinediamine. Fluorescent dye used as a local antiseptic and also as a biological stain. It intercalates into nucleic acids thereby inhibiting bacterial and viral replication."
C0001193,Apert syndrome,"An autosomal dominant inherited type of acrocephalosyndactyly caused by mutations in the FGFR2 gene. It is characterized by early closure of the sutures between the skull bones, bulging eyes, low-set ears, fusion of the second, third, and forth fingers, and fusion of the toes."
C0001197,Acrodermatitis,"Inflammation involving the skin of the extremities, especially the hands and feet. Several forms are known, some idiopathic and some hereditary. The infantile form is called Gianotti-Crosti syndrome."
C0001198,Acrodynia,"A condition seen primarily in childhood, most often resulting from chronic exposure to MERCURY COMPOUNDS which may result in encephalopathy and POLYNEUROPATHY. Clinical features include pain, swelling and pinkish discoloration of the fingers and toes, weakness in the extremities, extreme irritability, HYPERESTHESIA, and alterations in level of consciousness. (From Menkes, Textbook of Child Neurology, 5th ed, p603)"
C0001202,Acrokeratosis,Overgrowth of the stratum corneum characterized by flesh-coloured or slightly pigmented smooth or warty papules on the upper surface of hands and feet. [HPO:skoehler]
C0001204,Acrolein,Unsaturated three-carbon aldehyde.
C0001206,Acromegaly,"WHAT: Acromegaly:	Hypersecretion of growth hormone from a pituitary tumor resulting in insidious increase in the skeleton, soft tissues and organs.	WHY:	Acromegaly can result in an arthropathy with initial cartilage hypertrophy resulting in widening of the cartilage space on radiographs. The cartilage then undergoes premature osteoarthritis change with productive bony change characterized by broad distal tufts in the phalanges."
C0001208,Acromioclavicular joint structure,The gliding joint formed by the outer extremity of the CLAVICLE and the inner margin of the ACROMION PROCESS of the SCAPULA.
C0001209,Acromion,The lateral extension of the spine of the SCAPULA and the highest point of the SHOULDER.
C0001210,Acronine,A pyrano-acridone alkaloid found in RUTACEAE plants.
C0001214,ACROSIN,A trypsin-like enzyme of spermatozoa which is not inhibited by alpha 1 antitrypsin.
C0001216,Acrosome,"The cap-like structure covering the anterior portion of SPERM HEAD. Acrosome, derived from LYSOSOMES, is a membrane-bound organelle that contains the required hydrolytic and proteolytic enzymes necessary for sperm penetration of the egg in FERTILIZATION."
C0001218,Acrylamides,"Colorless, odorless crystals that are used extensively in research laboratories for the preparation of polyacrylamide gels for electrophoresis and in organic synthesis, and polymerization. Some of its polymers are used in sewage and wastewater treatment, permanent press fabrics, and as soil conditioning agents."
C0001219,Acrylates,"Derivatives of acrylic acid (the structural formula CH2=CHCO2H), including its salts and esters."
C0001222,Acrylic Resins,"Polymers of high molecular weight which are derived from acrylic acid, methacrylic acid or other related compounds and are capable of being molded and then hardened to form useful components."
C0001223,Acrylonitrile,"A highly poisonous compound used widely in the manufacture of plastics, adhesives and synthetic rubber."
C0001231,"ACTH Syndrome, Ectopic",Symptom complex due to ACTH production by non-pituitary neoplasms.
C0001237,Actihaemyl,"An extract from calf blood containing inorganic salts, amino acids, polypeptides and purines, but no proteins nor antigenic substances or blood group characteristics. Its exact composition is unknown. It has been proposed as a radiation-protective agent."
C0001239,Actin-Binding Protein,"diverse family of cytoskeletal proteins which bind actin, thereby stabilizing or destabilizing microfilaments, anchoring them to other cell structures, or subserving intracellular translocation and motility."
C0001241,Acting Out,"Expressing unconscious emotional conflicts or feelings, often of hostility or love, through overt behavior."
C0001245,Actinin,"A protein factor that regulates the length of R-actin. It is chemically similar, but immunochemically distinguishable from actin."
C0001246,Actinium,"A trivalent radioactive element and the prototypical member of the actinide family. It has the atomic symbol Ac, and atomic number 89. Its principal isotope is 227 and it decays primarily by beta-emission."
C0001247,Actinobacillosis,"A disease characterized by suppurative and granulomatous lesions in the respiratory tract, upper alimentary tract, skin, kidneys, joints, and other tissues. Actinobacillus lignieresii infects cattle and sheep while A. equuli infects horses and pigs."
C0001248,Actinobacillus,"genus of Pasteurellaceae described as gram negative, nonsporeforming, nonmotile, facultative anaerobes; most members are found both as pathogens and commensal organisms in the respiratory, alimentary, and genital tracts of animals."
C0001249,Actinobacillus Infections,Infections with bacteria of the genus ACTINOBACILLUS.
C0001250,Actinomyces,"genus of the family Actinomycetaceae of the order Actinomycetales; a genus of gram positive, rod shaped bacteria whose organisms are nonmotile; filaments that may be present in certain species are either straight or wavy and may have swollen or clubbed heads."
C0001252,Actinomyces israelii (bacteria),"A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Actinobacteria. This bacteria hydrolyzes esculin, produces acid from xylose and is urease and catalase negative. A. israelii is found in the flora of the human oral and nasopharyngeal tract and in animals and is the most frequent cause of actinomycosis in humans."
C0001253,Actinomycetaceae,A family of bacteria including numerous parasitic and pathogenic forms.
C0001254,Actinomycetales,"order of gram positive, primarily aerobic bacteria that tend to form branching filaments."
C0001255,Actinomycetales Infections,Infections with bacteria of the order ACTINOMYCETALES.
C0001259,Actinomycin,"group of peptide antibiotic agents, isolated from several species of Streptomyces (originally Actinomyces), that are active against gram positive bacteria, fungi, and neoplasms; they form complexes with DNA and therefore inhibit RNA synthesis, primarily the ribosomal type."
C0001261,Actinomycosis,Infections with bacteria of the genus ACTINOMYCES.
C0001264,Cervicofacial actinomycosis,"A form of ACTINOMYCOSIS characterized by slow-growing inflammatory lesions of the lymph nodes that drain the mouth (lumpy jaw), reddening of the overlying skin, and intraperitoneal abscesses."
C0001268,spectinomycin,An antibiotic produced by Streptomyces spectabilis. It is active against gram-negative bacteria and used for the treatment of GONORRHEA.
C0001271,Actins,"Filamentous proteins that are the main constituent of the thin filaments of muscle fibers. The filaments (known also as filamentous or F-actin) can be dissociated into their globular subunits; each subunit is composed of a single polypeptide 375 amino acids long. This is known as globular or G-actin. In conjunction with MYOSINS, actin is responsible for the contraction and relaxation of muscle."
C0001272,Action Potentials,Abrupt changes in the membrane potential that sweep along the CELL MEMBRANE of excitable cells in response to excitation stimuli.
C0001275,activated charcoal,"Carbon that has been treated to create small, low-volume pores that increase the surface area available for adsorption."
C0001282,Activation Analysis,"A method of chemical analysis based on the detection of characteristic radionuclides following a nuclear bombardment. It is also known as radioactivity analysis. (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)"
C0001283,Activator Appliances,Loose-fitting removable orthodontic appliances which redirect the pressures of the facial and masticatory muscles onto the teeth and their supporting structures to produce improvements in tooth arrangements and occlusal relations.
C0001285,"Euthanasia, Active","The act or practice of killing for reasons of mercy, i.e., in order to release a person or animal from incurable disease, intolerable suffering, or undignified death. (from Beauchamp and Walters, Contemporary Issues in Bioethics, 5th ed)"
C0001288,Activities of Daily Living (activity),"The performance of the basic activities of self care, such as dressing, ambulation, or eating."
C0001289,Activity Cycles,Bouts of physical irritability or movement alternating with periods of quiescence. It includes biochemical activity and hormonal activity which may be cellular. These cycles are shorter than 24 hours and include sleep-wakefulness cycles and the periodic activation of the digestive system.
C0001291,Actomyosin,A protein complex of actin and MYOSINS occurring in muscle. It is the essential contractile substance of muscle.
C0001296,Actuarial Analysis,"The application of probability and statistical methods to calculate the risk of occurrence of any event, such as onset of illness, recurrent disease, hospitalization, disability, or death. It may include calculation of the anticipated money costs of such events and of the premiums necessary to provide for payment of such costs."
C0001299,Acupuncture therapy discipline,The occupational discipline of the traditional Chinese methods of ACUPUNCTURE THERAPY for treating disease by inserting needles along specific pathways or meridians.
C0001300,Acupuncture Analgesia,"Analgesia produced by the insertion of ACUPUNCTURE needles at certain ACUPUNCTURE POINTS on the body. This activates small myelinated nerve fibers in the muscle which transmit impulses to the spinal cord and then activate three centers - the spinal cord, midbrain and pituitary/hypothalamus - to produce analgesia."
C0001301,Acupuncture Anesthesia,Use of ACUPUNCTURE to block the afferent nerve impulses from reaching the brain to reduce the sensation of pain for surgery.
C0001302,Acupuncture Points,Designated locations along nerves or organ meridians for inserting acupuncture needles.
C0001306,Acute Alcoholic Hepatitis,Acute hepatitis resulting from ingestion of alcohol.
C0001309,Acute Atopic Conjunctivitis,Atopic conjunctivitis that is of relatively short duration and that has a rapid onset.
C0001311,Acute Bronchiolitis,Acute inflammation of the bronchioles usually caused by the respiratory syncytial virus.
C0001314,Acute Disease,Disease having a short and relatively severe course.
C0001327,Acute laryngitis,"An acute inflammatory process affecting the larynx. It is caused by bacteria, viruses, or vocal strain. Signs and symptoms include sore throat, cough, swallowing difficulties, and hoarseness."
C0001339,"Pancreatitis, Acute","An acute inflammatory process that leads to necrosis of the pancreatic parenchyma. Signs and symptoms include severe abdominal pain, nausea, vomiting, diarrhea, fever, and shock. Causes include alcohol consumption, presence of gallstones, trauma, and drugs."
C0001342,Acute periodontitis,An acute inflammatory process that affects the tissues that surround and support the teeth.
C0001344,Acute Pharyngitis,"An acute and painful inflammatory process that affects the pharynx. It is usually caused by viruses and less often bacteria. Signs and symptoms include discomfort on swallowing, low-grade fever, headache, and earache."
C0001347,Acute-Phase Proteins,"blood proteins that are produced in response to acute illness; including fibrinogen, ceruloplasmin, certain enzyme inhibitors and C reactive protein."
C0001349,Acute-Phase Reaction,"An early local inflammatory reaction to insult or injury that consists of fever, an increase in inflammatory humoral factors, and an increased synthesis by hepatocytes of a number of proteins or glycoproteins usually found in the plasma."
C0001361,Akut tonsillit,"An acute inflammation of the tonsils caused by viruses or bacteria. Signs and symptoms include fever, enlargement of the tonsils, difficulty swallowing, and enlargement of the regional lymph nodes."
C0001363,Acute vascular insufficiency of intestine (disorder),Ischemia of the intestine that is rapid in onset.
C0001364,Massive Hepatic Necrosis,"Extensive and rapid death of parenchymal cells in the LIVER, often due to exposure to toxic materials or drug-induced injury. It is characterized by a soft, flabby, yellow-brown wrinkled, and shrunken liver. It was called ""acute yellow atrophy""."
C0001367,acyclovir,A GUANOSINE analog that acts as an antimetabolite. Viruses are especially susceptible. Used especially against herpes.
C0001369,Acyl Carrier Protein,Consists of a polypeptide chain and 4'-phosphopantetheine linked to a serine residue by a phosphodiester bond. Acyl groups are bound as thiol esters to the pantothenyl group. Acyl carrier protein is involved in every step of fatty acid synthesis by the cytoplasmic system.
C0001374,Acyl Coenzyme A,S-Acyl coenzyme A. Fatty acid coenzyme A derivatives that are involved in the biosynthesis and oxidation of fatty acids as well as in ceramide formation.
C0001383,Acylation,The addition of an organic acid radical into a molecule.
C0001388,Acylneuraminate Cytidylyltransferase,"An enzyme that forms CMP-acylneuraminic acids, which donate the N-acylneuraminic acid residues to the terminal sugar residue of a ganglioside or glycoprotein. EC 2.7.7.43."
C0001390,Acyltransferase,"Enzymes from the transferase class that catalyze the transfer of acyl groups from donor to acceptor, forming either esters or amides. (From Enzyme Nomenclature 1992) EC 2.3."
C0001392,Adamantane,A tricyclo bridged hydrocarbon.
C0001396,Adams-Stokes Syndrome,"A condition of fainting spells caused by heart block, often an atrioventricular block, that leads to BRADYCARDIA and drop in CARDIAC OUTPUT. When the cardiac output becomes too low, the patient faints (SYNCOPE). In some cases, the syncope attacks are transient and in others cases repetitive and persistent."
C0001398,Biological Adaptation,"Changes in biological features that help an organism cope with its ENVIRONMENT. These changes include physiological (ADAPTATION, PHYSIOLOGICAL), phenotypic and genetic changes."
